id_cliente,zona_geografica,antiguedad_meses,celular_contacto,email_contacto,score_credito_interno
cli_001,norte,10,,usuario_1@correo.com,786.0
cli_002,norte,51,,usuario_2@correo.com,523.0
cli_003,oriente,46,2906803191,usuario_3@correo.com,553.0
cli_004,sur,9,7519610354,usuario_4@correo.com,473.0
cli_005,sur,20,,usuario_5@correo.com,429.0
cli_006,sur,10,7882217846,usuario_invalido.com,613.0
cli_007,norte,8,0000000,,468.0
cli_008,centro,27,9880739888,usuario_8@correo.com,530.0
cli_009,norte,10,err_num,usuario_9@correo.com,731.0
cli_010,centro,38,err_num,usuario_invalido.com,
cli_011,occidente,21,2843720138,,589.0
cli_012,norte,23,2639591919,no_tiene,
cli_013,norte,48,err_num,usuario_invalido.com,497.0
cli_014,norte,37,3749181045,,
cli_015,sur,19,6971499661,,709.0
cli_016,sur,40,5636516371,usuario_invalido.com,847.0
cli_017,centro,14,4832763465,usuario_17@correo.com,
cli_018,centro,52,9762660923,usuario_18@correo.com,700.0
cli_019,norte,42,1096748573,,686.0
cli_020,centro,42,0000000,usuario_20@correo.com,506.0
cli_021,sur,36,0771419502,usuario_21@correo.com,570.0
cli_022,centro,21,4869598675,usuario_22@correo.com,407.0
cli_023,occidente,56,5874226756,usuario_invalido.com,497.0
cli_024,sur,36,err_num,,460.0
cli_025,occidente,57,2380131243,null,786.0
cli_026,centro,32,0837908549,usuario_26@correo.com,524.0
cli_027,oriente,18,null,usuario_27@correo.com,760.0
cli_028,norte,12,9475622403,usuario_28@correo.com,522.0
cli_029,sur,12,4141603506,usuario_29@correo.com,797.0
cli_030,occidente,48,null,usuario_30@correo.com,638.0
cli_031,oriente,33,,usuario_invalido.com,583.0
cli_032,oriente,28,0000000,,584.0
cli_033,sur,33,3829484709,null,654.0
cli_034,sur,32,err_num,null,811.0
cli_035,oriente,35,6791011652,usuario_35@correo.com,640.0
cli_036,norte,52,7167189103,usuario_36@correo.com,563.0
cli_037,norte,9,9370661786,usuario_37@correo.com,589.0
cli_038,occidente,49,err_num,usuario_invalido.com,423.0
cli_039,norte,47,null,null,513.0
cli_040,oriente,47,0604443841,usuario_invalido.com,408.0
cli_041,oriente,12,,usuario_41@correo.com,699.0
cli_042,centro,9,9748532924,null,613.0
cli_043,oriente,31,5634343225,usuario_43@correo.com,500.0
cli_044,norte,52,5512452474,usuario_44@correo.com,594.0
cli_045,occidente,27,,null,525.0
cli_046,centro,57,0000000,usuario_46@correo.com,735.0
cli_047,norte,12,,usuario_invalido.com,572.0
cli_048,occidente,21,5473722111,usuario_48@correo.com,820.0
cli_049,norte,18,7124795211,usuario_49@correo.com,770.0
cli_050,centro,18,0000000,null,651.0
cli_051,oriente,40,0000000,usuario_51@correo.com,775.0
cli_052,centro,34,err_num,usuario_52@correo.com,486.0
cli_053,oriente,14,6184854410,,679.0
cli_054,centro,33,4840601539,,677.0
cli_055,sur,17,null,usuario_55@correo.com,430.0
cli_056,norte,23,7254489366,usuario_invalido.com,829.0
cli_057,norte,35,9226110045,usuario_invalido.com,818.0
cli_058,sur,21,0000000,,791.0
cli_059,oriente,10,,,
cli_060,norte,34,4697669456,usuario_invalido.com,722.0
cli_061,sur,57,8013752166,,762.0
cli_062,norte,60,5400432098,usuario_62@correo.com,511.0
cli_063,occidente,41,9962074691,null,591.0
cli_064,oriente,12,6403368362,usuario_64@correo.com,
cli_065,occidente,9,8543394596,usuario_65@correo.com,715.0
cli_066,oriente,47,4137672594,,737.0
cli_067,sur,40,1962155099,usuario_67@correo.com,403.0
cli_068,oriente,59,1847528925,usuario_68@correo.com,610.0
cli_069,oriente,6,0000000,usuario_69@correo.com,
cli_070,sur,11,2749582259,usuario_70@correo.com,540.0
cli_071,oriente,54,1535543165,,546.0
cli_072,norte,60,null,usuario_72@correo.com,
cli_073,centro,21,null,usuario_invalido.com,745.0
cli_074,sur,16,8368940558,usuario_74@correo.com,491.0
cli_075,centro,32,4547461493,null,449.0
cli_076,sur,37,6888337780,usuario_76@correo.com,523.0
cli_077,sur,36,,no_tiene,669.0
cli_078,occidente,19,7406846907,usuario_78@correo.com,581.0
cli_079,occidente,31,,usuario_invalido.com,603.0
cli_080,oriente,9,2461163645,usuario_80@correo.com,
cli_081,centro,16,,usuario_81@correo.com,635.0
cli_082,sur,30,6842509929,,756.0
cli_083,oriente,6,4398133260,usuario_83@correo.com,750.0
cli_084,norte,30,3087997897,,441.0
cli_085,sur,22,,usuario_85@correo.com,839.0
cli_086,norte,56,0000000,usuario_invalido.com,416.0
cli_087,oriente,56,6768696345,usuario_87@correo.com,
cli_088,occidente,35,0271159598,usuario_88@correo.com,682.0
cli_089,oriente,24,null,null,726.0
cli_090,norte,33,2884072663,usuario_90@correo.com,
cli_091,sur,50,5032137236,usuario_91@correo.com,655.0
cli_092,centro,52,0000000,usuario_92@correo.com,730.0
cli_093,oriente,56,6936664761,usuario_invalido.com,689.0
cli_094,sur,41,err_num,usuario_94@correo.com,448.0
cli_095,occidente,48,null,usuario_95@correo.com,421.0
cli_096,occidente,51,0000000,no_tiene,844.0
cli_097,occidente,37,1467947140,,690.0
cli_098,sur,15,4903498065,,423.0
cli_099,oriente,18,3311846650,usuario_invalido.com,750.0
cli_100,sur,24,2150722831,null,678.0
cli_101,sur,19,0811216007,usuario_101@correo.com,416.0
cli_102,centro,9,,no_tiene,835.0
cli_103,centro,43,,null,506.0
cli_104,oriente,53,null,usuario_104@correo.com,785.0
cli_105,centro,40,7475159078,no_tiene,820.0
cli_106,occidente,9,4904464900,,439.0
cli_107,centro,53,0265395460,null,688.0
cli_108,occidente,26,8677242344,usuario_108@correo.com,827.0
cli_109,oriente,9,null,usuario_109@correo.com,746.0
cli_110,sur,9,,usuario_110@correo.com,569.0
cli_111,sur,43,0000000,,778.0
cli_112,centro,36,4004731095,,752.0
cli_113,occidente,38,4894902315,usuario_invalido.com,656.0
cli_114,norte,60,null,usuario_114@correo.com,577.0
cli_115,norte,39,err_num,usuario_115@correo.com,
cli_116,norte,16,,usuario_invalido.com,829.0
cli_117,sur,9,,usuario_117@correo.com,
cli_118,sur,38,8898660982,usuario_118@correo.com,714.0
cli_119,occidente,11,,usuario_119@correo.com,603.0
cli_120,centro,60,3116079053,usuario_120@correo.com,567.0
cli_121,norte,17,1339581700,usuario_121@correo.com,
cli_122,occidente,10,4642531655,usuario_122@correo.com,630.0
cli_123,occidente,44,0000000,usuario_123@correo.com,582.0
cli_124,centro,10,err_num,usuario_124@correo.com,592.0
cli_125,occidente,49,,usuario_125@correo.com,748.0
cli_126,centro,21,7721441525,no_tiene,594.0
cli_127,oriente,31,3374403446,,
cli_128,centro,13,null,usuario_128@correo.com,808.0
cli_129,norte,42,,null,437.0
cli_130,norte,21,null,usuario_130@correo.com,
cli_131,centro,43,9082553333,,764.0
cli_132,oriente,44,err_num,usuario_132@correo.com,478.0
cli_133,oriente,8,1739611211,usuario_invalido.com,562.0
cli_134,norte,45,0964556869,usuario_134@correo.com,446.0
cli_135,oriente,11,,usuario_invalido.com,
cli_136,occidente,32,err_num,no_tiene,584.0
cli_137,sur,48,6753040326,usuario_137@correo.com,452.0
cli_138,occidente,43,0535970951,usuario_138@correo.com,495.0
cli_139,norte,42,5948890607,no_tiene,685.0
cli_140,oriente,39,5639376063,no_tiene,608.0
cli_141,centro,26,null,usuario_141@correo.com,445.0
cli_142,sur,22,0000000,usuario_142@correo.com,447.0
cli_143,centro,19,0000000,null,801.0
cli_144,norte,48,3661705631,usuario_144@correo.com,597.0
cli_145,oriente,51,9990650393,usuario_145@correo.com,
cli_146,centro,26,1912755756,no_tiene,798.0
cli_147,centro,21,6511669703,usuario_147@correo.com,
cli_148,sur,22,9677229791,null,524.0
cli_149,sur,31,5477541168,,486.0
cli_150,oriente,14,null,usuario_150@correo.com,486.0
cli_151,sur,48,5188272914,usuario_151@correo.com,554.0
cli_152,centro,47,2430052930,usuario_152@correo.com,474.0
cli_153,centro,25,8671286174,usuario_invalido.com,
cli_154,norte,35,err_num,usuario_invalido.com,615.0
cli_155,centro,26,0000000,,800.0
cli_156,oriente,54,5751230474,usuario_156@correo.com,
cli_157,occidente,10,null,,526.0
cli_158,norte,6,0521462460,usuario_158@correo.com,653.0
cli_159,norte,35,0559534692,,500.0
cli_160,oriente,45,err_num,usuario_160@correo.com,469.0
cli_161,oriente,42,err_num,no_tiene,602.0
cli_162,sur,12,7305817466,usuario_162@correo.com,717.0
cli_163,norte,10,0742010959,usuario_163@correo.com,841.0
cli_164,sur,40,2713783138,usuario_invalido.com,571.0
cli_165,centro,19,8394495870,usuario_165@correo.com,821.0
cli_166,norte,38,8530636463,usuario_166@correo.com,704.0
cli_167,norte,22,,null,564.0
cli_168,occidente,14,4670645710,,755.0
cli_169,norte,28,6412639014,usuario_169@correo.com,560.0
cli_170,centro,10,null,usuario_170@correo.com,603.0
cli_171,sur,21,5536217435,usuario_invalido.com,549.0
cli_172,sur,29,,usuario_172@correo.com,724.0
cli_173,occidente,24,2669210179,usuario_173@correo.com,694.0
cli_174,centro,16,9967522177,usuario_174@correo.com,566.0
cli_175,sur,34,,no_tiene,818.0
cli_176,oriente,59,1217053856,no_tiene,586.0
cli_177,centro,40,,no_tiene,688.0
cli_178,centro,51,null,no_tiene,679.0
cli_179,occidente,25,7809646387,,793.0
cli_180,sur,45,1949011137,usuario_180@correo.com,772.0
cli_181,centro,57,,usuario_181@correo.com,762.0
cli_182,sur,47,2651355191,usuario_182@correo.com,808.0
cli_183,oriente,39,7685800656,null,754.0
cli_184,occidente,6,4646294862,null,
cli_185,oriente,48,err_num,usuario_185@correo.com,807.0
cli_186,occidente,58,null,usuario_186@correo.com,655.0
cli_187,centro,41,2637789135,usuario_187@correo.com,555.0
cli_188,occidente,25,null,,737.0
cli_189,norte,48,null,usuario_189@correo.com,616.0
cli_190,sur,12,err_num,usuario_190@correo.com,437.0
cli_191,sur,14,null,null,706.0
cli_192,norte,22,4998971194,,605.0
cli_193,oriente,13,4034250258,usuario_193@correo.com,845.0
cli_194,norte,12,2011234005,usuario_invalido.com,678.0
cli_195,centro,53,,null,
cli_196,centro,41,null,usuario_196@correo.com,759.0
cli_197,sur,15,2961937397,usuario_197@correo.com,674.0
cli_198,centro,23,null,usuario_198@correo.com,443.0
cli_199,sur,24,0134465361,usuario_invalido.com,527.0
cli_200,norte,44,7238572836,null,581.0
